Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
437301,CHOLERA_0000000001,COUNTRY,AFG,YEAR,1960,,,,,,,,,887,,,,,2013-06-11T14:04:28.647+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
437302,CHOLERA_0000000001,COUNTRY,BGD,YEAR,1960,,,,,,,,,15618,,,,,2013-06-11T14:04:28.647+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
437303,CHOLERA_0000000001,COUNTRY,IND,YEAR,1960,,,,,,,,,14621,,,,,2013-06-11T14:04:28.647+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
437304,CHOLERA_0000000001,COUNTRY,IDN,YEAR,1960,,,,,,,,,41,,,,,2013-06-11T14:04:28.647+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
437305,CHOLERA_0000000001,COUNTRY,MMR,YEAR,1960,,,,,,,,,259,,,,,2013-06-11T14:04:28.647+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
437306,CHOLERA_0000000001,COUNTRY,PAK,YEAR,1960,,,,,,,,,6704,,,,,2013-06-11T14:04:28.647+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
437307,CHOLERA_0000000001,COUNTRY,AFG,YEAR,1965,,,,,,,,,218,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437308,CHOLERA_0000000001,COUNTRY,BHR,YEAR,1965,,,,,,,,,1,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437309,CHOLERA_0000000001,COUNTRY,BGD,YEAR,1965,,,,,,,,,1123,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437310,CHOLERA_0000000001,COUNTRY,BRN,YEAR,1965,,,,,,,,,198,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437311,CHOLERA_0000000001,COUNTRY,IND,YEAR,1965,,,,,,,,,42677,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437312,CHOLERA_0000000001,COUNTRY,IRN,YEAR,1965,,,,,,,,,5037,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437313,CHOLERA_0000000001,COUNTRY,MYS,YEAR,1965,,,,,,,,,16,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437314,CHOLERA_0000000001,COUNTRY,MMR,YEAR,1965,,,,,,,,,207,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437315,CHOLERA_0000000001,COUNTRY,NPL,YEAR,1965,,,,,,,,,727,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437316,CHOLERA_0000000001,COUNTRY,PAK,YEAR,1965,,,,,,,,,21,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437317,CHOLERA_0000000001,COUNTRY,PHL,YEAR,1965,,,,,,,,,4581,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437318,CHOLERA_0000000001,COUNTRY,THA,YEAR,1965,,,,,,,,,65,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437319,CHOLERA_0000000001,COUNTRY,VNM,YEAR,1965,,,,,,,,,1738,,,,,2013-06-11T14:04:28.647+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
437320,CHOLERA_0000000001,COUNTRY,AFG,YEAR,1993,,,,,,,,,37046,,,,,2013-06-11T14:04:28.647+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
437321,CHOLERA_0000000001,COUNTRY,ARG,YEAR,1993,,,,,,,,,2350,,,,,2013-06-11T14:04:28.647+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
437322,CHOLERA_0000000001,COUNTRY,AUS,YEAR,1993,,,,,,,,,5,,,,,2013-06-11T14:04:28.647+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
437323,CHOLERA_0000000001,COUNTRY,AUT,YEAR,1993,,,,,,,,,1,,,,,2013-06-11T14:04:28.647+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
437324,CHOLERA_0000000001,COUNTRY,BGD,YEAR,1993,,,,,,,,,78,,,,,2013-06-11T14:04:28.647+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
