Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
26068337,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2000,RESIDENCEAREATYPE,RUR,,,,,,,19,19.3228,,,,2021-06-23T13:40:06.803+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
26068338,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2000,RESIDENCEAREATYPE,TOTL,,,,,,,22,21.8708,,,,2021-06-23T13:40:06.837+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
26068339,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2000,RESIDENCEAREATYPE,URB,,,,,,,31,30.86372,,,,2021-06-23T13:40:06.867+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
26068340,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2001,RESIDENCEAREATYPE,RUR,,,,,,,19,19.3228,,,,2021-06-23T13:40:06.883+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
26068341,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2001,RESIDENCEAREATYPE,TOTL,,,,,,,22,21.8813,,,,2021-06-23T13:40:06.913+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
26068342,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2001,RESIDENCEAREATYPE,URB,,,,,,,31,30.86372,,,,2021-06-23T13:40:06.93+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
26068343,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2002,RESIDENCEAREATYPE,RUR,,,,,,,21,20.66227,,,,2021-06-23T13:40:06.947+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
26068344,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2002,RESIDENCEAREATYPE,TOTL,,,,,,,23,23.27419,,,,2021-06-23T13:40:06.977+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
26068345,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2002,RESIDENCEAREATYPE,URB,,,,,,,32,32.39546,,,,2021-06-23T13:40:07.007+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
26068346,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2003,RESIDENCEAREATYPE,RUR,,,,,,,22,22.00173,,,,2021-06-23T13:40:07.04+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
26068347,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2003,RESIDENCEAREATYPE,TOTL,,,,,,,25,24.66743,,,,2021-06-23T13:40:07.07+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
26068348,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2003,RESIDENCEAREATYPE,URB,,,,,,,34,33.92721,,,,2021-06-23T13:40:07.087+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
26068349,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2004,RESIDENCEAREATYPE,RUR,,,,,,,23,23.3412,,,,2021-06-23T13:40:07.1+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
26068350,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2004,RESIDENCEAREATYPE,TOTL,,,,,,,26,26.06769,,,,2021-06-23T13:40:07.133+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
26068351,WSH_SANITATION_BASIC,COUNTRY,AFG,YEAR,2004,RESIDENCEAREATYPE,URB,,,,,,,35,35.45896,,,,2021-06-23T13:40:07.15+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
