,Value,SpatialDim,TimeDim,IndicatorCode,SpatialDimType,Comments
0,3.1286503142374427,ZWE,2000,Precipitation,COUNTRY,
0,351.5703125,ZMB,2000,Precipitation,COUNTRY,
0,1249.4118073453608,YEM,2000,Precipitation,COUNTRY,
0,897.2040960451977,VNM,2000,Precipitation,COUNTRY,
0,2395.0464142091155,VEN,2000,Precipitation,COUNTRY,
0,1112.0799560546875,VAT,2000,Precipitation,COUNTRY,
0,950.6715133101852,VUT,2000,Precipitation,COUNTRY,
0,1340.9854868913858,UZB,2000,Precipitation,COUNTRY,
0,1568.7753472222223,URY,2000,Precipitation,COUNTRY,
0,2716.805859375,FSM,2000,Precipitation,COUNTRY,
0,2298.0114397321427,MHL,2000,Precipitation,COUNTRY,
0,999.5077154308617,USA,2000,Precipitation,COUNTRY,
0,1421.1800537109375,IOT,2000,Precipitation,COUNTRY,
0,1178.5119047619048,FLK,2000,Precipitation,COUNTRY,
0,1177.280029296875,JEY,2000,Precipitation,COUNTRY,
0,1161.780029296875,GGY,2000,Precipitation,COUNTRY,
0,955.22998046875,IMN,2000,Precipitation,COUNTRY,
0,956.9971788194445,GBR,2000,Precipitation,COUNTRY,
0,796.5409702034884,ARE,2000,Precipitation,COUNTRY,
0,1170.925216763006,UKR,2000,Precipitation,COUNTRY,
0,1291.8152305825242,UGA,2000,Precipitation,COUNTRY,
0,1191.3790283203125,TKM,2000,Precipitation,COUNTRY,
0,1225.9433544303797,TUR,2000,Precipitation,COUNTRY,
0,327.0037802419355,TUN,2000,Precipitation,COUNTRY,
0,1916.8999720982142,TTO,2000,Precipitation,COUNTRY,
0,757.467529296875,TON,2000,Precipitation,COUNTRY,
0,115.0611328125,TGO,2000,Precipitation,COUNTRY,
0,3063.74365234375,TLS,2000,Precipitation,COUNTRY,
0,1415.0113520408163,THA,2000,Precipitation,COUNTRY,
0,1162.9837257617728,TZA,2000,Precipitation,COUNTRY,
0,993.7192332474227,TJK,2000,Precipitation,COUNTRY,
0,498.1470947265625,TWN,2000,Precipitation,COUNTRY,
0,1123.2752757352941,SYR,2000,Precipitation,COUNTRY,
0,1207.5294552364865,CHE,2000,Precipitation,COUNTRY,
0,692.3424646529563,SWE,2000,Precipitation,COUNTRY,
0,1.1235713958740234,SWZ,2000,Precipitation,COUNTRY,
0,3005.6207386363635,SUR,2000,Precipitation,COUNTRY,
0,1204.8011811023623,SSD,2000,Precipitation,COUNTRY,
0,1218.7160404624278,SDN,2000,Precipitation,COUNTRY,
0,3235.728462837838,LKA,2000,Precipitation,COUNTRY,
0,1188.8852370689656,ESP,2000,Precipitation,COUNTRY,
0,665.353125,KOR,2000,Precipitation,COUNTRY,
0,72.48814252336449,ZAF,2000,Precipitation,COUNTRY,
0,673.6768329326923,SOM,2000,Precipitation,COUNTRY,
0,650.3590666118421,-99,2000,Precipitation,COUNTRY,
0,2748.191706730769,SLB,2000,Precipitation,COUNTRY,
0,1062.0759765625,SVK,2000,Precipitation,COUNTRY,
0,1087.4220377604167,SVN,2000,Precipitation,COUNTRY,
0,2972.7900390625,SGP,2000,Precipitation,COUNTRY,
0,195.36055501302084,SLE,2000,Precipitation,COUNTRY,
0,670.625,SYC,2000,Precipitation,COUNTRY,
0,1058.1127840909091,SRB,2000,Precipitation,COUNTRY,
0,212.7471699617347,SEN,2000,Precipitation,COUNTRY,
0,929.4875,SAU,2000,Precipitation,COUNTRY,
0,1312.0166015625,STP,2000,Precipitation,COUNTRY,
0,1045.9150390625,SMR,2000,Precipitation,COUNTRY,
0,1024.9012451171875,WSM,2000,Precipitation,COUNTRY,
0,1593.14501953125,VCT,2000,Precipitation,COUNTRY,
0,1655.0250244140625,LCA,2000,Precipitation,COUNTRY,
0,1413.6099853515625,KNA,2000,Precipitation,COUNTRY,
0,1767.7900390625,RWA,2000,Precipitation,COUNTRY,
0,786.8743621462811,RUS,2000,Precipitation,COUNTRY,
