,Value,SpatialDim,TimeDim,IndicatorCode,SpatialDimType,Comments
0,25.851104174654907,ZWE,2000,Temperature,COUNTRY,
0,26.158511263652912,ZMB,2000,Temperature,COUNTRY,
0,24.604431781572163,YEM,2000,Temperature,COUNTRY,
0,24.661750750353107,VNM,2000,Temperature,COUNTRY,
0,25.24718551022118,VEN,2000,Temperature,COUNTRY,
0,11.420000076293945,VAT,2000,Temperature,COUNTRY,
0,26.5325927734375,VUT,2000,Temperature,COUNTRY,
0,12.325692737593632,UZB,2000,Temperature,COUNTRY,
0,21.960221354166666,URY,2000,Temperature,COUNTRY,
0,26.855999755859376,FSM,2000,Temperature,COUNTRY,
0,27.199999128069198,MHL,2000,Temperature,COUNTRY,
0,8.528352799348697,USA,2000,Temperature,COUNTRY,
0,27.170000076293945,IOT,2000,Temperature,COUNTRY,
0,0.5085714431036086,FLK,2000,Temperature,COUNTRY,
0,3.1500000953674316,JEY,2000,Temperature,COUNTRY,
0,2.804999828338623,GGY,2000,Temperature,COUNTRY,
0,-0.5149999856948853,IMN,2000,Temperature,COUNTRY,
0,-0.9182869240089699,GBR,2000,Temperature,COUNTRY,
0,23.147442485010902,ARE,2000,Temperature,COUNTRY,
0,3.781271873871026,UKR,2000,Temperature,COUNTRY,
0,22.23805844205097,UGA,2000,Temperature,COUNTRY,
0,14.641562461853027,TKM,2000,Temperature,COUNTRY,
0,15.74729158425633,TUR,2000,Temperature,COUNTRY,
0,16.469569052419356,TUN,2000,Temperature,COUNTRY,
0,25.234283447265625,TTO,2000,Temperature,COUNTRY,
0,25.462499618530273,TON,2000,Temperature,COUNTRY,
0,23.481141880580356,TGO,2000,Temperature,COUNTRY,
0,26.529998779296875,TLS,2000,Temperature,COUNTRY,
0,25.329591836734693,THA,2000,Temperature,COUNTRY,
0,23.910553908414126,TZA,2000,Temperature,COUNTRY,
0,14.395463766510954,TJK,2000,Temperature,COUNTRY,
0,22.926666259765625,TWN,2000,Temperature,COUNTRY,
0,19.28372491574755,SYR,2000,Temperature,COUNTRY,
0,5.197296967377534,CHE,2000,Temperature,COUNTRY,
0,-6.314061495822622,SWE,2000,Temperature,COUNTRY,
0,22.670000348772323,SWZ,2000,Temperature,COUNTRY,
0,25.584393125591856,SUR,2000,Temperature,COUNTRY,
0,22.537836029773622,SSD,2000,Temperature,COUNTRY,
0,21.922428197254334,SDN,2000,Temperature,COUNTRY,
0,26.368106326541387,LKA,2000,Temperature,COUNTRY,
0,12.259620824353448,ESP,2000,Temperature,COUNTRY,
0,15.443076735276442,KOR,2000,Temperature,COUNTRY,
0,21.118167713200936,ZAF,2000,Temperature,COUNTRY,
0,26.18639197716346,SOM,2000,Temperature,COUNTRY,
0,25.729211104543584,-99,2000,Temperature,COUNTRY,
0,26.98845966045673,SLB,2000,Temperature,COUNTRY,
0,3.4640003204345704,SVK,2000,Temperature,COUNTRY,
0,6.008749643961589,SVN,2000,Temperature,COUNTRY,
0,26.139999389648438,SGP,2000,Temperature,COUNTRY,
0,24.53472222222222,SLE,2000,Temperature,COUNTRY,
0,26.59000015258789,SYC,2000,Temperature,COUNTRY,
0,9.027090731534091,SRB,2000,Temperature,COUNTRY,
0,23.050412547831634,SEN,2000,Temperature,COUNTRY,
0,23.366208400974028,SAU,2000,Temperature,COUNTRY,
0,25.529998779296875,STP,2000,Temperature,COUNTRY,
0,8.654999732971191,SMR,2000,Temperature,COUNTRY,
0,25.764999389648438,WSM,2000,Temperature,COUNTRY,
0,24.895000457763672,VCT,2000,Temperature,COUNTRY,
0,24.260000228881836,LCA,2000,Temperature,COUNTRY,
0,24.18000030517578,KNA,2000,Temperature,COUNTRY,
0,21.604373931884766,RWA,2000,Temperature,COUNTRY,
0,-10.37129730748415,RUS,2000,Temperature,COUNTRY,
0,6.894184085494238,ROU,2000,Temperature,COUNTRY,
0,23.052999877929686,QAT,2000,Temperature,COUNTRY,
0,13.035941745923912,PRT,2000,Temperature,COUNTRY,
0,0.8545226284007931,POL,2000,Temperature,COUNTRY,
0,26.574742504674145,PHL,2000,Temperature,COUNTRY,
0,24.827152274680746,PER,2000,Temperature,COUNTRY,
0,24.727198660714286,PRY,2000,Temperature,COUNTRY,
0,27.071955070641764,PNG,2000,Temperature,COUNTRY,
0,17.841960832184437,PAN,2000,Temperature,COUNTRY,
0,26.709999084472656,PLW,2000,Temperature,COUNTRY,
0,19.087900270061727,PAK,2000,Temperature,COUNTRY,
0,23.74301987206376,OMN,2000,Temperature,COUNTRY,
0,-21.826786108657245,NOR,2000,Temperature,COUNTRY,
0,13.042375183105468,PRK,2000,Temperature,COUNTRY,
